,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,Dec 25-31,,149503014,+60.6%,164077104,+69.1%,18,Aladdin,52,1992-12-25
1,Dec 18-24,,93111111,+30.3%,97051543,+32.5%,15,A Few Good Men,51,1992-12-18
2,Dec 11-17,,71438438,-2.2%,73262613,-1%,15,A Few Good Men,50,1992-12-11
3,Dec 4-10,,73018611,-35.9%,73991327,-36.5%,16,Home Alone 2: Lost in New York,49,1992-12-04
4,Nov 27-Dec 3,,113944722,-4.7%,116592282,-7.5%,15,Home Alone 2: Lost in New York,48,1992-11-27
5,Nov 20-26,,119545974,+64.7%,126075734,+64.4%,19,Home Alone 2: Lost in New York,47,1992-11-20
6,Nov 13-19,,72574702,+37.5%,76683257,+36.3%,18,Bram Stoker's Dracula,46,1992-11-13
7,Nov 6-12,,52776696,+37.6%,56244228,+31.9%,17,Passenger 57,45,1992-11-06
8,Oct 30-Nov 5,,38363118,-18.8%,42628219,-19.2%,17,Under Siege,44,1992-10-30
9,Oct 23-29,,47254545,-10.9%,52749341,-9.1%,17,Under Siege,43,1992-10-23
10,Oct 16-22,,53008651,-12.2%,58059627,-11.6%,17,Under Siege,42,1992-10-16
11,Oct 9-15,,60351792,+15%,65659489,+11.5%,19,Under Siege,41,1992-10-09
12,Oct 2-8,,52465204,+1.8%,58885497,+1.7%,18,The Last of the Mohicans,40,1992-10-02
13,Sep 25-Oct 1,,51543002,+20.7%,57883175,+15.1%,16,The Last of the Mohicans,39,1992-09-25
14,Sep 18-24,,42710845,+9.3%,50285106,+14.1%,20,Sneakers,38,1992-09-18
15,Sep 11-17,,39065708,-11.8%,44078180,-13.4%,19,Sneakers,37,1992-09-11
16,Sep 4-10,,44286284,-7.5%,50925470,-7.2%,17,Honeymoon in Vegas,36,1992-09-04
17,Aug 28-Sep 3,,47858666,-9.9%,54858011,-8.8%,16,Honeymoon in Vegas,35,1992-08-28
18,Aug 21-27,,53118572,-28.3%,60179288,-28.3%,19,Unforgiven,34,1992-08-21
19,Aug 14-20,,74107849,-11.1%,83940142,-8.5%,18,Unforgiven,33,1992-08-14
20,Aug 7-13,,83349069,+12.9%,91762718,+9.3%,19,Unforgiven,32,1992-08-07
21,Jul 31-Aug 6,,73822734,-1.2%,83948106,+3.5%,17,Death Becomes Her,31,1992-07-31
22,Jul 24-30,,74696561,-11.9%,81129996,-15.2%,13,Mo' Money,30,1992-07-24
23,Jul 17-23,,84805466,-15%,95711772,-10.5%,14,"Honey, I Blew Up the Kid",29,1992-07-17
24,Jul 10-16,,99812017,-8.7%,106897540,-3.8%,14,A League of Their Own,28,1992-07-10
25,Jul 3-9,,109320411,+1.9%,111177722,-2.1%,12,A League of Their Own,27,1992-07-03
26,Jun 26-Jul 2,,107272095,-13.4%,113535675,-9.9%,15,Batman Returns,26,1992-06-26
27,Jun 19-25,,123910393,+65.9%,125963462,+61.7%,12,Batman Returns,25,1992-06-19
28,Jun 12-18,,74696214,-10.6%,77878658,-9.4%,13,Patriot Games,24,1992-06-12
29,Jun 5-11,,83536067,+8.9%,86000885,+7.3%,12,Patriot Games,23,1992-06-05
30,May 29-Jun 4,,76683414,-23.6%,80184059,-22%,15,Lethal Weapon 3,22,1992-05-29
31,May 22-28,,100314682,+63.8%,102791506,+60.6%,16,Lethal Weapon 3,21,1992-05-22
32,May 15-21,,61239681,+138.3%,64004098,+76.2%,18,Lethal Weapon 3,20,1992-05-15
33,May 8-14,,25695792,-9.1%,36333112,-8.9%,23,Basic Instinct,19,1992-05-08
34,May 1-7,,28265684,-32.2%,39901371,-28.7%,23,Basic Instinct,18,1992-05-01
35,Apr 24-30,,41681026,-34.5%,55999807,-26.7%,20,Basic Instinct,17,1992-04-24
36,Apr 17-23,,63594844,-9.1%,76441880,-3.7%,19,Basic Instinct,16,1992-04-17
37,Apr 10-16,,69970586,+0.7%,79352304,+2.7%,19,Sleepwalkers,15,1992-04-10
38,Apr 3-9,,69465656,-6.2%,77247484,-4.5%,19,Basic Instinct,14,1992-04-03
39,Mar 27-Apr 2,,74052564,+19.4%,80913419,+15.6%,21,White Men Can't Jump,13,1992-03-27
40,Mar 20-26,,62007799,+19.9%,70018181,+13.8%,20,Basic Instinct,12,1992-03-20
41,Mar 13-19,,51697086,-0.3%,61533291,+1.8%,20,Wayne's World,11,1992-03-13
42,Mar 6-12,,51863357,+7.2%,60456598,-0.3%,18,Wayne's World,10,1992-03-06
43,Feb 28-Mar 5,,48385188,-13.8%,60619195,-11.2%,22,Wayne's World,9,1992-02-28
44,Feb 21-27,,56127817,-26%,68268952,-20.2%,19,Wayne's World,8,1992-02-21
45,Feb 14-20,,75867022,+38.9%,85570870,+42.5%,15,Wayne's World,7,1992-02-14
46,Feb 7-13,,54614215,-0.5%,60065188,-1.7%,14,Medicine Man,6,1992-02-07
47,Jan 31-Feb 6,,54910539,+3.2%,61125590,-2.5%,14,The Hand That Rocks the Cradle,5,1992-01-31
48,Jan 24-30,,53232306,-31.9%,62689506,-34.1%,15,The Hand That Rocks the Cradle,4,1992-01-24
49,Jan 17-23,,78150603,+18.9%,95147257,+17.7%,19,The Hand That Rocks the Cradle,3,1992-01-17
50,Jan 10-16,,65702210,-25.5%,80828620,-15%,18,The Hand That Rocks the Cradle,2,1992-01-10
51,Jan 3-9,,88207517,-45.6%,95043404,-45.1%,17,Hook,1,1992-01-03
